账号,微博,时间,肺炎相关,转发,评论,点赞,mid,地址
央视新闻,通往成功的路或许很累，但并不孤单，你背后有一直支持你的父母，有陪你一起努力的同学，还有默默为你加油的@央视新闻 。2020，你一定会把心仪学校的录取通知书攥在手中！带话题#给2020的一封信#发微博，一起写下你对2020的期许！,12/21/2019 16:13,0,529,428,5691,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlNZDxxIU?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【转存！#全国晾晒指数地图#】最近，#南方上演晴深深到雨蒙蒙#。今明两天，西南东部到江南一带，雨水十分“认真”，一“上线”就进入“耐力赛”，杭州、南昌、长沙等地几乎雨水“天天见”。阴雨连绵，阳光难觅，晾衣真是难中之难。你那晒干衣服要几天？@中国天气,12/21/2019 16:33,0,348,589,1950,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlO7XtNwL?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【痛心#兵哥哥送别患癌军犬痛哭失声#】年仅两岁半的军犬“五一”正值黄金期，却不幸患上骨癌。教练队班长叶怀斌带它四处求医，做了四次手术仍不想放弃，但癌细胞还是转移了。为了减轻“五一”的痛苦，大家决定对它进行“安乐”。送别的那一天，叶怀斌哭得撕心裂肺……再见，无言的战友！ ...展开全文c,12/21/2019 17:15,0,2447,2440,16406,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlOp0tHmV?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#康辉给80后加油打气#：中年没迟暮，你才刚上路】2019余额不足，不少80后感叹，#2020我奔四#，需要承担的东西更多了。但回忆自己的40岁，康辉却“比较满意”。在他看来，40岁依然是年轻的、充满活力的，只要内心仍有向前走、向前闯的冲劲↓↓转存，收下康辉寄语！@央视频 L央视频的微博视频,12/21/2019 18:00,0,1568,893,9908,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlOH7zQ07?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,成长在祖国大家庭，生活在温暖的小家庭，不断前行的你一定会收获更多的欢喜和感动。2020，@央视新闻 与你一起期待，“大家”带领“小家”越来越好！带话题#给2020的一封信#发微博，一起写下你对2020的期许！,12/21/2019 18:39,0,381,357,3434,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlOXcj575?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【双倍萌！#熊猫宝宝撒狗粮#】网友：大冷天好想抱只熊猫取暖！ LiPanda熊猫频道的微博视频 @iPanda熊猫频道,12/21/2019 19:09,0,1157,829,6946,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlP9rsLph?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【暖心！#交警送奶奶回家奶奶帮她暖手#】近日在云南普洱，有市民带着一位迷路的老奶奶向执勤交警求助。在交警送奶奶回家路上，奶奶的一个小举动，让交警在这个冬日心里暖开了花↓↓ L央视新闻的微博视频,12/21/2019 19:50,0,368,307,4885,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlPpUFlQu?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#木心逝世8周年# 转发，重读智言】①一个思想过度的人，行动软弱。②对生命，对人类，过分的悲观，过分的乐观，都是不诚实的。③人生多少事，只能“虽不能至，心向往之”。人的幸福，其实就到心向往之的地步。④有人一看书就卖弄。多看几遍再卖弄吧——多看几遍就不卖弄了。2011年的今天，作家木心逝 ...展开全文c,12/21/2019 20:38,0,1611,390,4714,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlPJi7VQR?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【跨越37年！电影#人到中年经典再现#，明晚一起看！】一本曾风靡全国的小说，被改编成一部感动中国的电影，融入国民记忆深处。一句“我愿意是急流，只要我的爱人是一条小鱼”，浓缩人生悲喜，勾起无限回忆。明晚8点CCTV-1#故事里的中国# ，@左曉卿 @演员郭晓东 再度演绎《人到中年》，回溯经典！  ...展开全文c,12/21/2019 21:18,0,263,159,1801,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlPZvFH4m?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【和你一起慢慢变老绝不只是嘴上说说】满是笑意的眼、让人心安的自行车后座、风雨中紧握的手……网友的镜头里，老一辈的日常也有很多甜蜜瞬间。爱情的模样，看得见！带话题#2019哪张照片最舍不得删#发微博，分享你眼中的爱情！（图自@菊月姗子 @想见海的菠萝蜜 @蛋挞酸奶酪 @犬牙晴天 @张晓洁go  ...展开全文c,12/21/2019 22:00,0,356,222,2269,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlQgB26r4?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#主播说联播#【#央视主播喊你2020一起上岸#】今天是2020考研初试第一天，付出就会有收获，希望大家高分上岸，愿望实现。最近，90后梗王袁隆平爷爷在提到杂交水稻的收获时，连用四个“奇迹”。吃饱肚子的小目标实现了，别忘了咱们还有个大目标。2020，决战脱贫攻坚、决胜全面小康将迎来“交卷”时刻，希 ...展开全文c,12/21/2019 22:43,0,926,670,10348,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlQy1kTjK?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【独家视频：王者归来！看“胖五”直立行走】今天，经过垂直转运，#长征五号遥三火箭抵达发射区#，计划于12月底前后择机发射，“胖五”再出征，让我们拭目以待！戳视频↓见证#胖五垂直转运全过程#！ L央视新闻的微博视频,12/21/2019 23:11,0,663,374,3774,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlQJyqoLV?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【夜读 | 冬至：亭前垂柳珍重待春风】 °夜读 | 冬至：亭前垂柳珍重待春风,12/21/2019 23:28,0,1213,369,2571,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlQQmEuBl?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【今天，#冬至来啦# 转起迎接！】今天12时19分冬至，“数九寒天”的开始。冬至，北半球全年白昼最短、夜晚最长的一天，北方有吃饺子、馄饨等习俗，南方则吃米团、长线面。古有“冬至大如年”的说法，人们认为，这天是个吉祥的日子，预示否极泰来。#冬至#你家吃什么？,12/22/2019 7:00,0,5267,1240,5420,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlTNXkSuj?from=page_1002062656274875_profile&wvr=6&mod=weibotime
